Year,State,State Code,Deaths,Population,Crude Rate
1980,Rhode Island,44,474,948005,50.0
1980,South Carolina,45,1273,3126100,40.7
1980,South Dakota,46,233,692365,33.7
1980,Tennessee,47,2264,4595143,49.3
1980,Texas,48,5598,14268965,39.2
1980,Utah,49,213,1464846,14.5
1980,Vermont,50,252,512144,49.2
1980,Virginia,51,2424,5353138,45.3
1980,Washington,53,1841,4138795,44.5
1980,West Virginia,54,1050,1949995,53.8
1980,Wisconsin,55,1712,4711208,36.3
1980,Wyoming,56,140,471153,29.7
1981,Alabama,1,1911,3920097,48.7
1981,Alaska,2,90,420161,21.4
1981,Arizona,4,1202,2816864,42.7
1981,Arkansas,5,1248,2293696,54.4
1981,California,6,10391,24344273,42.7
1981,Colorado,8,847,2983957,28.4
1981,Connecticut,9,1421,3131032,45.4
1981,Delaware,10,363,596658,60.8
